Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Hyundai i20,"£18,999",2023,"7,954 miles",Manual,Hybrid,5 seats,99.2 bhp,5 doors,1
Renault Kadjar,"£15,588",2020,"15,103 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.3
Renault Captur,"£9,200",2018,"58,423 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,0.9
Volkswagen Touareg,"£58,000",2023,751 miles,Semi-automatic,Hybrid,5 seats,375.5 bhp,5 doors,3
Nissan Micra,"£9,995",2020,"29,869 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Hyundai i10,"£6,491",2018,"59,681 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Toyota Yaris,"£14,690",2020,"19,653 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,1.5
Renault Arkana,"£20,286",2021,"13,454 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),4 doors,1.6
Nissan Leaf,"£13,000",2021,"39,628 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Ford Fiesta,"£12,788",2021,"13,878 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Hyundai i10,"£6,491",2018,"59,681 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Toyota Yaris,"£14,690",2020,"19,653 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,1.5
Hyundai IONIQ 5,"£43,999",2023,"3,879 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Nissan Juke,"£25,978",2023,"5,758 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Toyota C-HR,"£15,393",2018,"36,095 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,1.8
Renault Kadjar,"£15,588",2020,"15,103 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.3
Renault Captur,"£9,200",2018,"58,423 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,0.9
Nissan Micra,"£9,995",2020,"29,869 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Renault Zoe,"£13,888",2022,"14,952 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
DS DS 7,"£17,500",2019,"32,195 miles",Semi-automatic,Diesel,5 seats,2 owner(s),5 doors,2
Volkswagen ID.5,"£44,500",2023,"3,641 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Mercedes-Benz GLC,"£20,990",2018,"68,257 miles",Semi-automatic,Diesel,5 seats,2 owner(s),5 doors,2.1
Citroen C1,"£9,499",2020,"8,754 miles",Manual,Petrol,4 seats,2 owner(s),3 doors,1
Renault Zoe,"£11,988",2020,"13,523 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Yaris,"£13,490",2018,"19,036 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota RAV4,"£17,276",2018,"55,683 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2.5
Ford Kuga,"£16,369",2020,"23,478 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Mercedes-Benz CLS,"£25,961",2018,"65,977 miles",Semi-automatic,Diesel,5 seats,2 owner(s),4 doors,2.9
Hyundai Kona,"£16,555",2020,"19,093 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Honda Civic,"£15,445",2018,"8,868 miles",Automatic,Petrol,5 seats,2 owner(s),5 doors,1
Volkswagen Golf,"£20,541",2020,"3,426 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Hyundai Kona,"£18,362",2022,"9,328 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Hyundai i10,"£12,493",2020,"10,314 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Hyundai i10,"£9,228",2019,"20,794 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Peugeot 208,"£15,896",2021,"10,973 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
